_familyId,_id
"003068327","US1000000A19110808"
"003068328","US1000001A19110808"
"003068330","US1000003A19110808"
"003068331","US1000004A19110808"
"003068329","US1000002A19110808"
"003068332","US1000005A19110808"
"003068336","US1000009A19110808"
"003068333","US1000006A19110808"
"003068342","US1000015A19110808"
"002169460","US100000A18700222"
"003068334","US1000007A19110808"
"003068345","US1000018A19110808"
"003068337","US1000010A19110808"
"003068335","US1000008A19110808"
"002169461","US100001A18700222"
"003068344","US1000017A19110808"
"003068338","US1000011A19110808"
"003068347","US1000020A19110808"
"003068350","US1000023A19110808"
"003068339","US1000012A19110808"
"002169462","US100002A18700222"
"003068353","US1000026A19110808"
"003068340","US1000013A19110808"
"003068357","US1000030A19110808"
"003068355","US1000028A19110808"
"003068341","US1000014A19110808"
"003068360","US1000033A19110808"
"003068359","US1000032A19110808"
"003068343","US1000016A19110808"
"003068362","US1000035A19110808"
"003068361","US1000034A19110808"
"003068346","US1000019A19110808"
"003068367","US1000040A19110808"
"003068366","US1000039A19110808"
"003068348","US1000021A19110808"
"003068368","US1000041A19110808"
"002169463","US100003A18700222"
"003068349","US1000022A19110808"
"003068370","US1000043A19110808"
"003068369","US1000042A19110808"
"003068351","US1000024A19110808"
"003068378","US1000051A19110808"
"003068372","US1000045A19110808"
"003068352","US1000025A19110808"
"003068379","US1000052A19110808"
"003068373","US1000046A19110808"
"003068354","US1000027A19110808"
"003068381","US1000054A19110808"
"003068376","US1000049A19110808"
"003068356","US1000029A19110808"
"002169465","US100005A18700222"
"003068380","US1000053A19110808"
"003068358","US1000031A19110808"
"003068389","US1000062A19110808"
"003068382","US1000055A19110808"
"003068363","US1000036A19110808"
"003068392","US1000065A19110808"
"003068385","US1000058A19110808"
"003068364","US1000037A19110808"
"003068396","US1000069A19110808"
"003068386","US1000059A19110808"
"003068365","US1000038A19110808"
"003068400","US1000073A19110808"
"003068387","US1000060A19110808"
"003068371","US1000044A19110808"
"003068404","US1000077A19110808"
"003068391","US1000064A19110808"
"003068374","US1000047A19110808"
"003068407","US1000080A19110808"
"003068394","US1000067A19110808"
"003068375","US1000048A19110808"
"003068409","US1000082A19110808"
"003068395","US1000068A19110808"
"002169464","US100004A18700222"
"003068410","US1000083A19110808"
"003068398","US1000071A19110808"
"003068377","US1000050A19110808"
"003068412","US1000085A19110808"
"003068399","US1000072A19110808"
"003068383","US1000056A19110808"
"003068415","US1000088A19110808"
"003068402","US1000075A19110808"
"003068384","US1000057A19110808"
"002169468","US100008A18700222"
"003068403","US1000076A19110808"
"003068388","US1000061A19110808"
"003068417","US1000090A19110808"
"003068405","US1000078A19110808"
"003068390","US1000063A19110808"
